MeetDate,G ID,Grp,State,Club,Venue,Current Race Name,Dist,Prize$$,Age,Sex,Unnamed: 11,Registered Race Name
25-Aug-18,741,4,VIC,MVRC,M V,CARLYON STAKES,1000,120000,4YO&Up,O,SWP,SPRING PREVIEW
31-Aug-18,595,4,NSW,WYONG RC,WYNG,WYONG GOLD CUP,2100,150000,O,O,Qlty,WYONG GOLD CUP
31-Aug-18,671,4,NSW,WYONG RC,WYNG,MONA LISA STAKES,1350,140000,O,F&M,SWP,MONA LISA STAKES
01-Sep-18,192,2,NSW,TATTERSALLS (NSW),RAND,CHELMSFORD STAKES,1600,250000,3YO&Up,O,WFA,CHELMSFORD STAKES
01-Sep-18,270,2,NSW,TATTERSALLS (NSW),RAND,FURIOUS STAKES,1200,175000,3-Y-O,F,SW,FURIOUS STAKES
01-Sep-18,517,2,NSW,TATTERSALLS (NSW),RAND,TRAMWAYÂ HCP,1400,175000,3YO&Up,O,SWP,TRAMWAY HANDICAP
01-Sep-18,588,3,NSW,TATTERSALLS (NSW),RAND,CONCORDE STAKES,1000,160000,3YO&Up,O,SWP,CONCORDE STAKES
01-Sep-18,249,4,SA,SAJC,MORPP,PENNY EDITION STAKES,1400,100000,O,O,WFA,PENNY EDITION STAKES
01-Sep-18,353,1,VIC,MRC,CAUL,MEMSIE STAKES,1400,1000000,3YO&Up,O,WFA,MEMSIE STAKES
01-Sep-18,597,3,VIC,MRC,CAUL,HDF MCNEIL STAKES,1200,150000,3-Y-O,O,SWP,H.D.F. McNEIL STAKES
01-Sep-18,605,3,VIC,MRC,CAUL,W W COCKRAM STAKES,1200,150000,4YO&Up,M,SWP,W W COCKRAM STAKES
01-Sep-18,694,3,VIC,MRC,CAUL,THE HEATH 1100,1100,150000,O,O,SWP,THE HEATH 1100
01-Sep-18,301,4,VIC,MRC,CAUL,HEATHERLIE HANDICAP,1700,120000,O,O,Hcp,HEATHERLIE HANDICAP
01-Sep-18,591,4,WA,WATC,BLMT,IDYLLIC PRINCE STAKES,1300,100000,3YO&Up,O,WFA,WATC GOODWOOD SPRINT
08-Sep-18,479,2,NSW,ATC,RHIL,STAN FOX STAKES,1500,200000,3-Y-O,O,SW,STAN FOX STAKES
08-Sep-18,507,2,NSW,ATC,RHIL,THEO MARKS STAKES,1300,200000,3YO&Up,O,Qlty,THEO MARKS STAKES
08-Sep-18,704,2,NSW,ATC,RHIL,THE RUN TO THE ROSE,1200,175000,3-Y-O,O,SWP,THE RUN TO THE ROSE
08-Sep-18,663,2,NSW,ATC,RHIL,SHERACO STAKES,1200,200000,3YO&Up,F&M,SWP,SHERACO STAKES
08-Sep-18,373,4,SA,SAJC,MORP,MORPHETTVILLE GUINEAS,1600,100000,3-Y-O,F,SW,MORPHETTVILLE GUINEAS
08-Sep-18,258,2,VIC,MVRC,M V,DATO' TAN CHIN NAM STAKES,1600,250000,O,O,WFA,JOHN F FEEHAN STAKES
08-Sep-18,651,2,VIC,MVRC,M V,MCEWEN STAKES,1000,200000,O,O,WFA,IAN McEWEN TROPHY
08-Sep-18,934,4,VIC,MVRC,M V,CHANDLER MACLEOD STAKES,1200,120000,O,O,HCP,CHANDLER MACLEOD STAKES
08-Sep-18,980,4,VIC,MVRC,MV,ATLANTIC JEWEL STAKES,1200,120000,3-Y-O,F,SWP,ATLANTIC JEWEL STAKES
12-Sep-18,568,4,SA,BALAKLAVA RC,BKVA,BALAKLAVA CUP,1600,100000,O,O,Qlty,BALAKLAVA CUP
14-Sep-18,381,3,NSW,NEWCASTLE JC,NCLE,NEWCASTLE CUP,2300,175000,O,O,Hcp,NEWCASTLE GOLD CUP
14-Sep-18,160,3,NSW,NEWCASTLE JC,NCLE,CAMERON HCP,1500,160000,O,O,Hcp,CAMERON HANDICAP
14-Sep-18,473,3,NSW,NEWCASTLE JC,NCLE,SPRING STAKES,1600,160000,3-Y-O,O,SW,NJC 3YO SPRING STAKES
14-Sep-18,672,3,NSW,NEWCASTLE JC,NCLE,TIBBIE STAKES,1400,160000,O,F&M,SWP,TIBBIE PLATE
15-Sep-18,276,1,NSW,ATC,RAND,GEORGE MAIN STAKES,1600,500000,3YO&Up,O,WFA,GEORGE MAIN STAKES
15-Sep-18,457,2,NSW,ATC,RAND,THE SHORTS,1100,200000,3YO&Up,O,SWP,THE SHORTS
15-Sep-18,506,2,NSW,ATC,RAND,TEA ROSE STAKES,1400,175000,3-Y-O,F,SW,TEA ROSE STAKES
15-Sep-18,324,3,NSW,ATC,RAND,KINGSTON TOWN STAKES,2000,160000,3YO&Up,O,SWP,KINGSTON TOWN STAKES
15-Sep-18,582,3,NSW,ATC,RAND,BILL RITCHIE HANDICAP,1400,160000,3YO&Up,O,Qlty,BILL RITCHIE HANDICAP
15-Sep-18,464,4,NSW,ATC,RAND,HERITAGE STAKES,1100,150000,3-Y-O,O,SWP,HERITAGE STAKES
15-Sep-18,214,1,VIC,VRC,FLEM,MAKYBE DIVA STAKES,1600,750000,O,O,WFA,MAKYBE DIVA STAKES
15-Sep-18,145,2,VIC,VRC,FLEM,DANEHILL STAKES,1200,200000,3-Y-O,O,SWP,DANEHILL STAKES
15-Sep-18,150,2,VIC,VRC,FLEM,BOBBIE LEWIS QUALITY,1200,200000,4YO&Up,O,Qlty,BOBBIE LEWIS QUALITY
15-Sep-18,360,2,VIC,VRC,FLEM,LET'S ELOPE STAKES,1400,200000,4YO&Up,M,SWP,MILADY STAKES
15-Sep-18,720,4,VIC,VRC,FLEM,EXFORD PLATE,1400,120000,3-Y-O,O,SWP,EXFORD PLATE
15-Sep-18,739,4,VIC,VRC,FLEM,CAP D'ANTIBES STAKES,1100,120000,3-Y-O,F,SWP,CAP D'ANTIBES STAKES
15-Sep-18,933,4,VIC,VRC,FLEM,TONTONAN STAKES,1400,120000,4YO&Up,O,HCP,TONTONAN STAKES
15-Sep-18,257,4,WA,WATC,BLMT,FARNLEY STAKES,1400,100000,3YO&Up,O,Qlty,FARNLEY STKS
22-Sep-18,670,1,NSW,ATC,RHIL,GOLDEN ROSE STAKES,1400,1000000,3-Y-O,O,SW,GOLDEN ROSE STAKES
22-Sep-18,653,2,NSW,ATC,RHIL,GOLDEN PENDANT,1400,400000,3YO&Up,F&M,SWP,GOLDEN PENDANT
22-Sep-18,454,2,NSW,ATC,RHIL,SHANNON STAKES,1500,175000,3YO&Up,O,Qlty,SHANNON STAKES
22-Sep-18,281,3,NSW,ATC,RHIL,GLOAMING STAKES,1800,200000,3-Y-O,O,SW,GLOAMING STAKES
22-Sep-18,209,3,NSW,ATC,RHIL,COLIN STEPHEN QUALITY,2400,160000,3YO&Up,O,Qlty,COLIN STEPHEN QLTY HCP
22-Sep-18,508,4,SA,SAJC,MORP,TOKYO CITY CUP,1800,100000,O,O,SWP,TOKYO CITY CUP
22-Sep-18,550,4,SA,SAJC,MORP,W H WYLIE HANDICAP,1100,100000,O,O,Qlty,W H WYLIE HANDICAP
22-Sep-18,348,1,VIC,MRC,CAUL,SIR RUPERT CLARKE STAKES,1400,500000,O,O,Hcp,INVITATION STAKES
22-Sep-18,440,3,VIC,MRC,CAUL,NATURALISM STAKES,2000,150000,O,O,Qlty,NATURALISM STAKES
22-Sep-18,656,3,VIC,MRC,CAUL,HOW NOW STAKES,1200,150000,4YO&Up,M,SWP,HOW NOW STAKES
22-Sep-18,981,4,VIC,MRC,CAUL,JIM MOLONEY STAKES,1400,120000,3-Y-O,F,SWP,JIM MOLONEY STAKES
23-Sep-18,609,4,WA,KALG-BOU RC,KALG,BOULDER CUP,2100,100000,3YO&Up,O,Qlty,BOULDER CUP
28-Sep-18,363,1,VIC,MVRC,M V,A.J. MOIR STAKES,1000,500000,O,O,WFA,A.J. MOIR STAKES
28-Sep-18,369,2,VIC,MVRC,M V,BILL STUTT STAKES,1600,200000,3-Y-O,O,SW,MOONEE VALLEY STAKES
28-Sep-18,599,2,VIC,MVRC,M V,W H STOCKS STAKES,1600,200000,4YO&Up,M,WFA,W H STOCKS STAKES
28-Sep-18,641,3,VIC,MVRC,M V,JRA CUP,2040,200000,O,O,Qlty,JRA CUP
28-Sep-18,525,3,VIC,MVRC,M V,SCARBOROUGH STAKES,1200,150000,3-Y-O,F,SW,MV CHAMPAGNE STAKES
29-Sep-18,14,1,NSW,ATC,RAND,EPSOM HCP,1600,1000000,3YO&Up,O,Hcp,EPSOM HANDICAP
29-Sep-18,16,1,NSW,ATC,RAND,THE METROPOLITAN,2400,750000,3YO&Up,O,Hcp,THE METROPOLITAN
29-Sep-18,261,1,NSW,ATC,RAND,FLIGHT STAKES,1600,500000,3-Y-O,F,SW,FLIGHT STAKES
29-Sep-18,308,2,NSW,ATC,RAND,HILL STAKES,1800,500000,3YO&Up,O,WFA,HILL STAKES
29-Sep-18,407,2,NSW,ATC,RAND,PREMIERE STAKES,1200,500000,3YO&Up,O,WFA,PREMIERE STAKES
29-Sep-18,153,3,NSW,ATC,RAND,BREEDERS' PLATE,1000,150000,2-Y-O,C&G,SW,BREEDERS PLATE
29-Sep-18,279,3,NSW,ATC,RAND,GIMCRACK STAKES,1000,150000,2-Y-O,F,SW,AJC GIMCRACK STKS
29-Sep-18,570,4,NSW,ATC,RAND,DULCIFY 3YO QUALITY HCP,1600,140000,3-Y-O,O,Qlty,DULCIFY QUALITY HCP
29-Sep-18,743,4,VIC,MRC,MORN,R.M. ANSETT CLASSIC,2400,120000,O,O,Hcp,R M ANSETT CLASSIC
30-Sep-18,521,1,VIC,MRC,CAUL,UNDERWOOD STAKES,1800,750000,3YO&Up,O,WFA,UNDERWOOD STAKES
30-Sep-18,300,2,VIC,MRC,CAUL,THOUSAND GUINEAS PRELUDE,1400,200000,3-Y-O,F,SWP,TRANQUIL STAR STAKES
30-Sep-18,458,3,VIC,MRC,CAUL,CAULFIELD GUINEAS PRELUDE,1400,175000,3-Y-O,C&G,SWP,CAULFIELD GUINEAS PRELUDE
30-Sep-18,721,4,VIC,MRC,CAUL,TESTA ROSSA STAKES,1200,120000,O,O,Hcp,TESTA ROSSA STAKES
03-Oct-18,296,4,WA,KALG-BOU RC,KALG,HANNAN'S HANDICAP,1400,120000,3YO&Up,O,Qlty,HANNANS HANDICAP
06-Oct-18,23,1,NSW,ATC,RAND,SPRING CHAMPION STAKES,2000,500000,3-Y-O,O,SW,SPRING CHAMPION STAKES
06-Oct-18,433,2,NSW,ATC,RAND,ROMAN CONSUL STAKES,1200,300000,3-Y-O,O,SW,ROMAN CONSUL STKS
06-Oct-18,618,3,NSW,ATC,RAND,ANGST STAKES,1600,160000,4YO&Up,M,SWP,ANGST QUALITY HCP
06-Oct-18,519,1,VIC,VRC,FLEM,TURNBULL STAKES,2000,500000,4YO&Up,O,SWP,TURNBULL STAKES
06-Oct-18,244,2,VIC,VRC,FLEM,EDWARD MANIFOLD STAKES,1600,200000,3-Y-O,F,SW,EDWARD MANIFOLD STAKES
06-Oct-18,442,2,VIC,VRC,FLEM,GILGAI STAKES,1200,200000,O,O,SWP,BAGUETTE STAKES
06-Oct-18,590,2,VIC,VRC,FLEM,ROSE OF KINGSTON STAKES,1400,200000,4YO&Up,M,SWP,ROSE OF KINGSTON STAKES
06-Oct-18,713,3,VIC,VRC,FLEM,THE BART CUMMINGS,2500,300000,O,O,Qlty,THE BART CUMMINGS
06-Oct-18,205,4,VIC,VRC,FLEM,POSEIDON STAKES,1400,120000,3-Y-O,O,SWP,POSEIDON STAKES
06-Oct-18,346,4,VIC,VRC,FLEM,MARIBYRNONG TRIAL STAKES,1000,120000,2-Y-O,O,SW,MARIBYRNONG TRIAL STAKES
06-Oct-18,638,4,VIC,VRC,FLEM,PARIS LANE STAKES,1400,120000,4YO&Up,O,Hcp,PARIS LANE STAKES
06-Oct-18,712,4,VIC,VRC,FLEM,SUPER IMPOSE PLATE,1800,120000,3-Y-O,O,SWP,SUPER IMPOSE PLATE
06-Oct-18,319,4,WA,KALG-BOU RC,KALG,KALGOORLIE CUP,2300,130000,3YO&Up,O,Qlty,KALGOORLIE CUP
06-Oct-18,144,4,WA,WATC,BLMT,BIRTHDAY STAKES,1200,100000,4YO&Up,O,SWP,BIRTHDAY STKS
13-Oct-18,203,3,NSW,CITY TATTS,RAND,SYDNEY STAKES,1200,500000,3YO&Up,O,WFA,CITY TATT'S LIGHTNING
13-Oct-18,216,3,NSW,ATC,RAND,CRAVEN PLATE,2000,500000,O,O,WFA,CRAVEN PLATE
13-Oct-18,427,4,NSW,ATC,RAND,REGINALD ALLEN QLTY HCP,1400,140000,3-Y-O,F,Qlty,REGINALD ALLEN QUALITY
13-Oct-18,309,4,SA,SAJC,MORP,HILL SMITH STAKES,1800,100000,3-Y-O,O,SW,HILL SMITH STAKES
13-Oct-18,372,4,SA,SAJC,MORP,DURBRIDGE STAKES,1200,100000,O,O,WFA,DURBRIDGE STAKES
13-Oct-18,11,1,VIC,MRC,CAUL,CAULFIELD GUINEAS,1600,2000000,3-Y-O,O,SW,CAULFIELD GUINEAS
13-Oct-18,181,1,VIC,MRC,CAUL,CAULFIELD STAKES,2000,1000000,3YO&Up,O,WFA,CAULFIELD STAKES
13-Oct-18,245,1,VIC,MRC,CAUL,TOORAK HANDICAP,1600,500000,O,O,Hcp,TOORAK HANDICAP
13-Oct-18,510,1,VIC,MRC,CAUL,THOUSAND GUINEAS,1600,500000,3-Y-O,F,SW,THE THOUSAND GUINEAS
13-Oct-18,196,2,VIC,MRC,CAUL,SCHILLACI STAKES,1100,400000,3YO&Up,O,WFA,SCHILLACI STAKES
13-Oct-18,305,2,VIC,MRC,CAUL,HERBERT POWER STAKES,2400,400000,O,O,Qlty,HERBERT POWER STAKES
13-Oct-18,509,3,VIC,MRC,CAUL,THOROUGHBRED CLUB STAKES,1200,150000,3-Y-O,F,SWP,THOROUGHBRED CLUB STAKES
13-Oct-18,695,3,VIC,MRC,CAUL,NORTHWOOD PLUME STAKES,1200,150000,4YO&Up,M,SWP,NORTHWOOD PLUME STAKES
13-Oct-18,227,4,VIC,MRC,CAUL,DEBUTANT STAKES,1000,120000,2-Y-O,O,SW,DEBUTANT STAKES
13-Oct-18,935,4,VIC,MRC,CAUL,WEEKEND HUSSLER,1400,120000,O,O,HCP,BMW WEEKEND HUSSLER HANDICAP
14-Oct-18,215,4,VIC,CRANBOURNE TC,CRAN,CRANBOURNE CUP,2025,300000,O,O,Hcp,CRANBOURNE CUP
17-Oct-18,979,3,VIC,MRC,CAUL,BLUE SAPPHIRE STAKES,1200,350000,3-Y-O,O,SW,BLUE SAPPHIRE STAKES
17-Oct-18,710,3,VIC,MRC,CAUL,LADIES DAY VASE,1600,150000,4YO&Up,M,SWP,LADIES DAY VASE
17-Oct-18,936,4,VIC,MRC,CAUL,CAULFIELD VILLAGE STAKES,1200,120000,O,O,HCP,CAULFIELD VILLAGE STAKES
19-Oct-18,338,4,SA,MURR BDGE RC,MBRID,MURRAY BRIDGE GOLD CUP,1600,100000,O,O,Qlty,LORD MAYORS MILE
20-Oct-18,617,3,NSW,CITY TATTS,RAND,THE NIVISON,1200,160000,4YO&Up,M,SWP,THE NIVISON
20-Oct-18,462,4,NSW,CITY TATTS,RAND,BRIAN CROWLEYÂ STAKES,1200,150000,3-Y-O,O,SWP,BRIAN CROWLEY STAKES
20-Oct-18,202,4,NSW,ATC,RAND,CITY TATT'S CLUB CUP,2400,140000,3YO&Up,O,Hcp,CITY TATT'S CLUB CUP
20-Oct-18,4,1,VIC,MRC,CAUL,CAULFIELD CUP,2400,5000000,O,O,Hcp,CAULFIELD CUP
20-Oct-18,378,2,VIC,MRC,CAUL,CAULFIELD SPRINT,1100,200000,O,O,Hcp,CAULFIELD SPRINT
20-Oct-18,561,2,VIC,MRC,CAUL,TRISTARC STAKES,1400,200000,4YO&Up,M,SWP,TRISTARC STAKES
20-Oct-18,384,3,VIC,MRC,CAUL,CAULFIELD CLASSIC,2000,500000,3-Y-O,O,SWP,NORMAN ROBINSON STAKES
20-Oct-18,211,3,VIC,MRC,CAUL,PRICELINE CUP,2000,150000,O,O,Hcp,COONGY HANDICAP
20-Oct-18,581,3,VIC,MRC,CAUL,MOONGA STAKES,1400,150000,4YO&Up,O,SWP,MOONGA STAKES
20-Oct-18,728,3,VIC,MRC,CAUL,ETHEREAL STAKES,2000,150000,3-Y-O,F,SWP,ETHEREAL STAKES
20-Oct-18,354,4,VIC,MRC,CAUL,GOTHIC STAKES,1400,120000,3-Y-O,C&G,SWP,GOTHIC STAKES
20-Oct-18,937,4,VIC,MRC,CAUL,ALINGHI STAKES,1100,120000,3YO&Up,F&M,Hcp,ALINGHI STAKES
20-Oct-18,108,3,WA,WATC,ASCT,NORTHERLY STAKES,1400,150000,4YO&Up,O,SWP,NORTHERLY STKS
20-Oct-18,565,4,WA,WATC,ASCT,R.S. CRAWFORD STAKES,1000,100000,4YO&Up,O,SWP,R.S. CRAWFORD STKS
21-Oct-18,594,4,VIC,SEYMOUR RC,SEYM,SEYMOUR CUP,1600,150000,O,O,Hcp,SEYMOUR CUP
24-Oct-18,275,3,VIC,GEELONG RC,GEEL,GEELONG CUP,2400,300000,O,O,Hcp,GEELONG CUP
24-Oct-18,231,4,VIC,GEELONG RC,GEEL,GEELONG CLASSIC,2200,120000,3-Y-O,O,SWP,DERBY TRIAL STAKES
24-Oct-18,974,4,VIC,GEELONG RC,GEEL,BLACK PEARL,1200,120000,3YO&Up,F&M,SWP,BLACK PEARL
26-Oct-18,343,1,VIC,MVRC,M V,MANIKATO STAKES,1200,1000000,O,O,WFA,MANIKATO STAKES
27-Oct-18,2,1,VIC,MVRC,M V,COX PLATE,2040,5000000,3YO&Up,O,WFA,W S COX PLATE
27-Oct-18,368,2,VIC,MVRC,M V,MOONEE VALLEY GOLD CUP,2500,500000,4YO&Up,O,SWP,MOONEE VALLEY GOLD CUP
27-Oct-18,304,2,VIC,MVRC,M V,MV VASE,2040,200000,3-Y-O,O,SW,MV VASE
27-Oct-18,536,2,VIC,MVRC,M V,CRYSTAL MILE,1600,200000,O,O,WFA,CRYSTAL MILE
27-Oct-18,648,2,VIC,MVRC,M V,MOONEE VALLEY FILLIES CLASSIC,1600,200000,3-Y-O,F,SW,MOONEE VALLEY FILLIES CLASSIC
27-Oct-18,425,3,VIC,MVRC,M V,RED ANCHOR STAKES,1200,150000,3-Y-O,O,SWP,RED ANCHOR STAKES
27-Oct-18,587,3,VIC,MVRC,M V,TESIO STAKES,1600,150000,4YO&Up,M,Hcp,TESIO STAKES
27-Oct-18,586,4,VIC,MVRC,M V,WILLIAM CROCKETT STAKES,1200,120000,3-Y-O,F,SWP,WILLIAM CROCKET STAKES
27-Oct-18,939,RL,VIC,MVRC,M V,INGLIS BANNER,1000,500000,2YO,O,SW,INGLIS BANNER
27-Oct-18,133,4,WA,WATC,ASCT,BELGRAVIA STAKES,1200,100000,3-Y-O,O,SWP,BELGRAVIA STKS
28-Oct-18,758,4,VIC,SALE TC,SALE,SALE CUP,1600,200000,O,O,Hcp,SALE CUP
28-Oct-18,733,4,WA,NORTHAM RC,NTHM,NORTHAM CUP,1600,125000,3YO&Up,O,Qlty,NORTHAM CUP
31-Oct-18,141,3,VIC,BJC,BEND,BENDIGO CUP,2400,300000,O,O,Hcp,BENDIGO CUP
03-Nov-18,6,1,VIC,VRC,FLEM,VICTORIA DERBY,2500,2000000,3-Y-O,O,SW,VICTORIA DERBY
03-Nov-18,106,1,VIC,VRC,FLEM,CANTALA STAKES,1600,1000000,O,O,Qlty,CANTALA STAKES
03-Nov-18,117,1,VIC,VRC,FLEM,COOLMORE STUD STAKES,1200,1000000,3-Y-O,O,SW,ASCOT VALE STAKES
03-Nov-18,560,1,VIC,VRC,FLEM,MYER CLASSIC,1600,500000,3YO&Up,F&M,WFA,EMPIRE ROSE STAKES
03-Nov-18,334,2,VIC,VRC,FLEM,LINLITHGOW STAKES,1200,300000,O,O,HCP,LINLITHGOW STAKES
03-Nov-18,531,2,VIC,VRC,FLEM,WAKEFUL STAKES,2000,300000,3-Y-O,F,SWP,WAKEFUL STAKES
03-Nov-18,222,3,VIC,VRC,FLEM,LEXUS STAKES,2500,300000,O,O,Qlty,HOTHAM HANDICAP
03-Nov-18,168,3,VIC,VRC,FLEM,CARBINE CLUB STAKES,1600,200000,3-Y-O,O,SWP,VRC CARBINE CLUB STAKES
03-Nov-18,722,3,VIC,VRC,FLEM,BEGONIA BELLE STAKES,1100,200000,O,M,SWP,BEGONIA BELLE STAKES
03-Nov-18,135,3,WA,WATC,ASCT,ASIAN BEAU STAKES,1400,150000,3YO&Up,O,Hcp,ASIAN BEAU STKS
03-Nov-18,409,3,WA,WATC,ASCT,PRINCE OF WALES STAKES,1000,150000,3YO&Up,O,WFA,PRINCE OF WALES STKS
06-Nov-18,1,1,VIC,VRC,FLEM,MELBOURNE CUP,3200,7300000,O,O,Hcp,MELBOURNE CUP
06-Nov-18,696,3,VIC,VRC,FLEM,HKJC STAKES,1400,200000,4YO&Up,M,SWP,MAYBE MAHAL STAKES
06-Nov-18,159,3,VIC,VRC,FLEM,OTTAWA STAKES,1000,150000,2-Y-O,F,SW,OTTAWA STAKES
06-Nov-18,293,4,VIC,VRC,FLEM,MELBOURNE CUP DAY PLATE,1800,150000,O,O,Hcp,MELBOURNE CUP DAY PLATE
06-Nov-18,491,4,VIC,VRC,FLEM,LEXUS HYBRID STAKES,1400,150000,3-Y-O,F,SWP,DESIRABLE STAKES
06-Nov-18,745,4,VIC,VRC,FLEM,MSS SECURITY SPRINT,1200,150000,O,O,Hcp,ALWAYS WELCOME STAKES
06-Nov-18,158,4,WA,WATC,ASCT,BURGESS QUEEN STAKES,1400,100000,3-Y-O,F,SWP,BURGESS QUEEN STKS
08-Nov-18,673,4,NSW,HAWKESBURY RC,HAWK,SKIN FITNESS CUP,1400,140000,O,O,Hcp,SAFILO CUP
08-Nov-18,19,1,VIC,VRC,FLEM,CROWN OAKS,2500,1000000,3-Y-O,F,SW,VRC OAKS
08-Nov-18,290,3,VIC,VRC,FLEM,CHATHAM STAKES,1400,200000,O,O,Hcp,CHATHAM STAKES
08-Nov-18,172,4,VIC,VRC,FLEM,CENTURY STAKES,1000,150000,O,O,SWP,CENTURY STAKES
08-Nov-18,252,4,VIC,VRC,FLEM,BATMAN STAKES,1800,150000,3-Y-O,O,Hcp,BATMAN STAKES
08-Nov-18,426,4,VIC,VRC,FLEM,RED ROSES STAKES,1200,150000,3-Y-O,F,SWP,RED ROSES STAKES
10-Nov-18,341,1,VIC,VRC,FLEM,EMIRATES STAKES,2000,1500000,O,O,WFA,LKS MACKINNON STAKES
10-Nov-18,271,1,VIC,VRC,FLEM,DARLEY CLASSIC,1200,1000000,O,O,WFA,VICTORIA RACING CLUB STKS
10-Nov-18,639,2,VIC,VRC,FLEM,MATRIARCH STAKES,2000,300000,4YO&Up,M,SWP,MATRIARCH STAKES
10-Nov-18,413,3,VIC,VRC,FLEM,QUEEN ELIZABETH STAKES,2600,300000,O,O,Qlty,VRC QUEEN ELIZABETH STAKES
10-Nov-18,345,3,VIC,VRC,FLEM,MARIBYRNONG PLATE,1000,150000,2-Y-O,O,SW,MARIBYRNONG PLATE
10-Nov-18,522,4,VIC,VRC,FLEM,HILTON HOTELS STAKES,1400,150000,3-Y-O,O,Hcp,VRC SPRINGTIME STAKES
10-Nov-18,328,2,WA,WATC,ASCT,LEE STEERE STAKES,1400,250000,3YO&Up,O,WFA,LEE STEERE STKS
10-Nov-18,114,4,WA,WATC,ASCT,ASCOT GOLD CUP,1800,100000,3YO&Up,O,Qlty,ASCOT GOLD CUP
10-Nov-18,256,4,WA,WATC,ASCT,FAIRETHA STAKES,1400,100000,3-Y-O,C&G,SWP,FAIRETHA STKS
14-Nov-18,579,4,TAS,TTC,LAUN,TASMANIAN NEWMARKET HCP,1200,100000,O,O,Qlty,TTC NEWMARKET HANDICAP
17-Nov-18,747,4,QLD,BRC,DOOM,KEITH NOUD QUALITY,1200,100000,O,O,Qlty,KEITH NOUD QUALITY
17-Nov-18,449,2,VIC,MRC,SAND,ZIPPING CLASSIC,2400,300000,O,O,WFA,SANDOWN CLASSIC
17-Nov-18,450,2,VIC,MRC,SAND,SANDOWN GUINEAS,1600,250000,3-Y-O,O,SW,SANDOWN GUINEAS
17-Nov-18,208,3,VIC,MRC,SAND,SANDOWN STAKES,1500,150000,O,O,Qlty,SANDOWN STAKES
17-Nov-18,243,3,VIC,MRC,SAND,ECLIPSE STAKES,1800,150000,O,O,Qlty,ECLIPSE STAKES
17-Nov-18,637,3,VIC,MRC,SAND,SUMMONED STAKES,1500,150000,4YO&Up,M,SWP,SUMMONED STAKES
17-Nov-18,666,3,VIC,MRC,SAND,KEVIN HEFFERNAN STAKES,1300,150000,O,O,WFA,KEVIN HEFFERNAN STAKES
17-Nov-18,768,4,VIC,MRC,SAND,SANDOWN CUP,3200,150000,O,O,Hcp,SANDOWN CUP
17-Nov-18,236,4,VIC,MRC,SAND,DOVETON STAKES,1200,120000,O,O,Hcp,DOVETON STAKES
